Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 06/21  03:00:00,27673320.51,747231.8182,464980.9787,272139.4137,6228572.107,0,537972.5758,4728945.532,11811468.2,5432212.383
 06/21  04:00:00,28168928.16,830800.7825,517042.646,280883.0674,5709621.271,0,518774.0584,5117958.396,12192483.31,5889464.268
 06/21  05:00:00,33583059.55,2279736.903,1418531.518,541577.513,5404174.924,2014362.108,529502.2311,5709190.717,12573498.41,6565646.868
 06/21  06:00:00,42288822.11,5352080.363,3330397.965,0,5934934.31,1487273.488,541788.2908,8346676.277,14097558.82,9661306.343
 06/21  07:00:00,49730571.59,6772905.533,4214493.236,0,5789882.235,1295786.964,534833.7181,11944354.47,16002634.34,13972009.29
 06/21  08:00:00,64199779.07,7197625.315,4478852.138,0,5133948.352,322902.6771,500087.1242,27031446.57,16383649.44,37258961.19
 06/21  09:00:00,140023655.3,7398679.716,4603943.1,0,262115.0597,249400.0913,293317.8294,69802270.4,16383649.44,104543610
 06/21  10:00:00,57966538.39,7197472.538,4478733.003,0,157993.4913,175559.9923,314698.7561,17226875.84,16383649.44,21208387.08
 06/21  11:00:00,61938053.77,6918807.473,4305273.535,0,143241.3532,133474.8937,313743.6492,18294503.06,16764664.55,22403439.72
 06/21  12:00:00,53640089.32,6717600.295,4180063.438,0,142075.1741,224291.7918,314654.6362,18347026.87,17145679.65,22192060.08
 06/21  13:00:00,84816428.61,6658475.635,4143250.955,0,160480.2491,14642.46625,197751.4093,16548881.86,17145679.65,20096589.08
 06/21  14:00:00,48029971.72,6738836.284,4193287.34,0,821190.2325,0,336386.7977,16394790.72,16764664.55,19517746.54
 06/21  15:00:00,51058272.23,7264541.597,4520429.991,0,2870395.623,0,409960.2854,15567248.51,17526694.75,18843393.63
 06/21  16:00:00,60779540.51,8764199.648,5453608.573,0,5206978.289,0,494865.4282,19552403.99,18288724.96,22623832.05
 06/21  17:00:00,109245120.1,11596225.04,7215842.403,0,26522182.45,0,1284485.05,25127470.36,19812785.37,28223268.32
 06/21  18:00:00,105359366.5,14507388.88,9027397.812,0,19763282.17,5484.419021,1035109.352,22023769.07,20193800.48,25025564.13
 06/21  19:00:00,89387022.74,15124913.11,9411605.769,0,15508701.65,0,879598.6807,16647914.82,19050755.17,19616287.36
 06/21  20:00:00,91255333.58,12856328.92,7999984.038,3385858.902,13166974.43,0,793296.2772,14391187.91,17907709.86,17385324.33
 06/21  21:00:00,74516804.08,9736013.51,6058334.027,4074726.991,11831302.48,0,743916.4843,13605138.97,17145679.65,16667514.41
 06/21  22:00:00,57125306.5,8377215.761,5212719.119,3076769.657,10158569.14,0,683106.5097,11419600.26,15240604.13,14023801.79
 06/21  23:00:00,41870341.3,3762436.718,2341226.286,1370171.315,8635058.709,0,626789.0465,8335414.729,13716543.72,10039979.69
 06/21  24:00:00,34459707.6,1868155.934,1162512.014,680348.5344,7400040.359,0,581099.7879,6254303.269,13335528.62,7347505.014
 06/22  01:00:00,30679824.16,1120924.116,697531.0351,408209.1206,6392980.006,0,543857.1702,5683123.499,12573498.41,6589713.426
 06/22  02:00:00,28181142.57,747231.8182,464980.9787,272139.4137,5577298.459,0,513734.5473,5070450.461,12192483.31,5875378.85
 06/22  03:00:00,26883621.8,747231.8182,464980.9787,272139.4137,4941278.972,0,490236.261,4728945.532,11811468.2,5432212.383
 06/22  04:00:00,27500758.17,830800.7825,517042.646,280883.0674,4571553.725,0,476567.031,5117958.396,12192483.31,5889464.268
 06/22  05:00:00,33431123.07,2279736.903,1418531.518,541577.513,4365047.213,2446194.223,495927.8421,5709190.717,12573498.41,6565646.868
 06/22  06:00:00,41840533.51,5352080.363,3330397.965,0,4874375.512,1873122.723,507053.0862,8346676.277,14097558.82,9661306.343
 06/22  07:00:00,49031951.03,6772905.533,4214493.236,0,4819866.58,1548808.172,501804.0503,11944354.47,16002634.34,13972009.29
 06/22  08:00:00,50428658,7197625.315,4478852.138,0,4081158.654,362537.6875,461677.3355,14255140.77,16383649.44,16979109.09
 06/22  09:00:00,49100901.68,7398679.716,4603943.1,0,146545.0008,203831.5855,314620.0983,16732667.93,16383649.44,20306139.04
 06/22  10:00:00,49270187.02,7197472.538,4478733.003,0,226678.9212,136744.1058,316808.2547,17226875.84,16383649.44,21208387.08
 06/22  11:00:00,50437045.3,6918807.473,4305273.535,0,291976.7647,84731.37551,318593.1485,18294503.06,16764664.55,22403439.72
 06/22  12:00:00,50837381.72,6717600.295,4180063.438,0,348048.4606,179495.5437,321591.6078,18347026.87,17145679.65,22192060.08
 06/22  13:00:00,97425773.55,6658475.635,4143250.955,0,1632673.87,0,366829.0365,64215148.49,17145679.65,95757335.85
 06/22  14:00:00,49484128.27,6738836.284,4193287.34,0,1977249.713,0,378409.697,16394790.72,16764664.55,19517746.54
 06/22  15:00:00,62556711.38,7264541.597,4520429.991,0,4328603.032,0,463438.5685,15567248.51,17526694.75,18843393.63
 06/22  16:00:00,69549299.68,8764199.648,5453608.573,0,7124011.259,0,565227.2884,19552403.99,18288724.96,22623832.05
 06/22  17:00:00,159796021.7,11596225.04,7215842.403,0,29623768.99,0,1270671.192,25127470.36,19812785.37,28223268.32
 06/22  18:00:00,91709366.32,14507388.88,9027397.812,0,22011859.88,0,1117680.178,22023769.07,20193800.48,25025564.13
 06/22  19:00:00,81302539.3,15124913.11,9411605.769,0,17179930.22,0,941186.4772,16647914.82,19050755.17,19616287.36
 06/22  20:00:00,75006569.54,12856328.92,7999984.038,3385858.902,14554556.87,0,844642.5762,14391187.91,17907709.86,17385324.33
 06/22  21:00:00,67612635.72,9736013.51,6058334.027,4074726.991,13041441.22,0,788701.7037,13605138.97,17145679.65,16667514.41
 06/22  22:00:00,58469640.47,8377215.761,5212719.119,3076769.657,11177533.87,0,720815.7128,11419600.26,15240604.13,14023801.79
 06/22  23:00:00,43020264.96,3762436.718,2341226.286,1370171.315,9508085.686,0,659068.4251,8335414.729,13716543.72,10039979.69
 06/22  24:00:00,37085038.5,1868155.934,1162512.014,680348.5344,8316849.033,0,615031.3641,7760019.351,13335528.62,9438780.811
 06/23  01:00:00,31585132.34,1120924.116,697531.0351,408209.1206,7095748.284,0,569893.0823,5683123.499,12573498.41,6589713.426
 06/23  02:00:00,28970721.07,747231.8182,464980.9787,272139.4137,6154386.25,0,535122.325,5070450.461,12192483.31,5875378.85
 06/23  03:00:00,27577770.83,747231.8182,464980.9787,272139.4137,5413866.566,0,507755.6262,4728945.532,11811468.2,5432212.383
