Date/Time,Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 02/12  18:00:00,30114475.47,110392893.4,29283350.55,9133972.506,3622555.945,566010.149,1926126.276,45214.53346,35701186.8,35701186.8
 02/12  19:00:00,30693600,113753313,36634904.16,11427046.47,4687055.576,996010.3565,1516278.372,51319.28822,27747097.87,27747097.87
 02/12  20:00:00,28956226.42,108847778.4,38194225.01,11913425.02,5369331.349,947989.4361,2204317.624,61540.4152,21200723.14,21200723.14
 02/12  21:00:00,27218852.83,97024199.2,32465634.81,10126580.81,5085296.064,837050.2197,2714195.414,66652.61616,18509936.44,18509936.44
 02/12  22:00:00,26060603.77,83641192.56,24585954.75,7668775.278,4089467.377,817581.2634,2670740.032,65275.76933,17682794.32,17682794.32
 02/12  23:00:00,23164981.13,72279472.8,21154495.1,6598444.953,3606194.078,739204.3118,2398123.398,58378.0684,14559651.76,14559651.76
 02/12  24:00:00,20848483.02,47557747.19,9501203.977,2963586.28,1370171.315,442453.3052,2520884.725,51304.54513,9859660.028,9859660.028
 02/13  01:00:00,20269358.49,33696663.86,4717753.269,1471547.069,680348.5344,279520.2145,0,7895.936373,6270240.348,6270240.348
 02/13  02:00:00,19111109.43,28965983.1,2830651.962,882928.2412,408209.1206,184832.1625,0,5192.757728,5543059.427,5543059.427
 02/13  03:00:00,18531984.91,26207831.37,1887101.308,588618.8275,272139.4137,128145.2569,0,3575.579103,4796266.081,4796266.081
 02/13  04:00:00,17952860.38,25197120.41,1887101.308,588618.8275,272139.4137,109699.9679,0,2990.238017,4383710.282,4383710.282
 02/13  05:00:00,18531984.91,26615692.72,2098031.992,654411.6769,301001.6125,93127.56618,0,2492.695547,4934642.27,4934642.27
 02/13  06:00:00,19111109.43,45634566.53,5756753.656,1795628.869,822423.2989,105076.2231,12256720.18,91937.41329,5694917.453,5694917.453
 02/13  07:00:00,21427607.55,69389649.65,13515268.45,4215640.906,1930822.878,324972.2168,18727795.55,223862.3792,9023679.63,9023679.63
